valid,epoch,epoch_utc,lat_deg,lon_deg,alt_m,air_temp_degC,humdity_percent,humidity_sensor_temp_degC,pres_mb,module_error,rs41_rh_percent,wv_mixing_ratio_ppmv
[bool],[epoch],[iso8601],[deg],[deg],[m],[C],[%],[C],[mb],[#],[%],[ppmv]
True,1786655900,2026-08-13T21:18:20Z,,,,25.0600,31.5600,30.3000,768.0000,0,42.8641,18076.4983
True,1786655901,2026-08-13T21:18:21Z,,,,25.0600,31.6100,30.3000,768.0200,0,42.9320,18105.1751
True,1786655902,2026-08-13T21:18:22Z,,,,25.0600,31.5400,30.2900,768.1400,0,42.8124,18050.9546
True,1786655903,2026-08-13T21:18:23Z,,,,25.0600,31.5500,30.3000,767.9600,0,42.8505,18071.6254
True,1786655904,2026-08-13T21:18:24Z,,,,25.0600,31.5400,30.3000,768.0800,0,42.8369,18062.9205
True,1786655905,2026-08-13T21:18:25Z,,,,25.0700,31.5700,30.3000,768.1400,0,42.8521,18078.9743
True,1786655906,2026-08-13T21:18:26Z,,,,25.0600,31.5600,30.3000,768.0000,0,42.8641,18076.4983
True,1786655907,2026-08-13T21:18:27Z,,,,25.0700,31.5400,30.3000,767.9800,0,42.8114,18065.3150
True,1786655908,2026-08-13T21:18:28Z,,,,25.0700,31.5600,30.3000,767.8800,0,42.8386,18079.3743
True,1786655909,2026-08-13T21:18:29Z,,,,25.0600,31.5400,30.3000,768.1200,0,42.8369,18061.9629
True,1786655910,2026-08-13T21:18:30Z,,,,25.0700,31.5300,30.3000,767.9400,0,42.7978,18060.4415
True,1786655911,2026-08-13T21:18:31Z,,,,25.0700,31.5600,30.3000,767.9600,0,42.8386,18077.4569
True,1786655912,2026-08-13T21:18:32Z,,,,25.0700,31.5600,30.3000,767.9600,0,42.8386,18077.4569
True,1786655913,2026-08-13T21:18:33Z,,,,25.0700,31.5600,30.3000,768.0200,0,42.8386,18076.0191
True,1786655914,2026-08-13T21:18:34Z,,,,25.0700,31.5600,30.3000,768.0800,0,42.8386,18074.5815
