epoch,epoch_utc,lat_deg,lon_deg,alt_m,pump1_I_mA,pump2_I_mA,pha_I_mA,pha_12V_V,pha_3V3_V,cpu_V_V,input_V_V,flow_SLPM,pump1_PWM,pump2_PWM,pump1_T_degC,pump2_T_degC,laser_T_degC,pcb_T_degC,inlet_T_degC,hg_275,hg_300,hg_325,hg_350,hg_375,hg_400,hg_450,hg_500,hg_550,hg_600,hg_650,hg_700,hg_750,hg_800,hg_900,hg_1000,lg_1200,lg_1400,lg_1600,lg_1800,lg_2000,lg_2500,lg_3000,lg_3500,lg_4000,lg_6000,lg_8000,lg_10000,lg_13000,lg_16000,lg_24000,lg_24000_1
[epoch],[iso8601],[deg],[deg],[m],[mA],[mA],[mA],[V],[V],[V],[V],[SLPM],[#],[#],[C],[C],[C],[C],[C],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm],[diam >nm]
1786630360,2026-08-13T14:12:40Z,,,,315.0000,285.0000,486.0000,11.7450,3.2470,3.2990,15.1160,10.0540,150.0000,147.0000,24.8500,24.8500,23.8500,27.8500,23.8500,6425.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1786630364,2026-08-13T14:12:44Z,,,,322.0000,293.0000,487.0000,11.7350,3.2470,3.2970,15.1160,10.0740,150.0000,147.0000,25.8500,24.8500,24.8500,28.8500,23.8500,6425.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1786630370,2026-08-13T14:12:50Z,,,,322.0000,293.0000,486.0000,11.7450,3.2470,3.2950,15.1000,9.9830,150.0000,147.0000,25.8500,25.8500,24.8500,28.8500,23.8500,6425.0000,0.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1786630375,2026-08-13T14:12:55Z,,,,329.0000,293.0000,486.0000,11.7400,3.2490,3.2990,15.1160,10.0160,149.0000,148.0000,25.8500,24.8500,23.8500,28.8500,24.8500,6425.0000,2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1786630380,2026-08-13T14:13:00Z,,,,322.0000,293.0000,486.0000,11.7450,3.2490,3.2950,15.1220,10.0050,149.0000,147.0000,25.8500,25.8500,24.8500,28.8500,23.8500,6425.0000,2.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1786630384,2026-08-13T14:13:04Z,,,,307.0000,285.0000,486.0000,11.7400,3.2490,3.2970,15.1050,9.9500,149.0000,146.0000,25.8500,26.8500,24.8500,28.8500,24.8500,6425.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1786630389,2026-08-13T14:13:09Z,,,,329.0000,278.0000,486.0000,11.7350,3.2490,3.2970,15.1050,10.0280,148.0000,147.0000,25.8500,25.8500,23.8500,28.8500,24.8500,6425.0000,0.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1786630393,2026-08-13T14:13:13Z,,,,329.0000,307.0000,486.0000,11.7400,3.2490,3.3000,15.1000,10.0220,151.0000,148.0000,25.8500,26.8500,23.8500,28.8500,25.8500,6425.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1786630398,2026-08-13T14:13:18Z,,,,315.0000,293.0000,487.0000,11.7400,3.2520,3.2970,15.1050,9.9870,150.0000,147.0000,25.8500,26.8500,24.8500,28.8500,23.8500,6425.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1786630402,2026-08-13T14:13:22Z,,,,329.0000,300.0000,486.0000,11.7400,3.2470,3.3000,15.1000,9.9790,150.0000,147.0000,25.8500,26.8500,24.8500,28.8500,24.8500,6425.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
